,time,latitude,longitude,platform
2581,2023-04-03 02:51:15,-37.84666666666667,17.8885,WGSV3-052
2580,2023-04-03 03:20:20,-37.857,17.8825,WGSV3-052
2579,2023-04-03 03:35:20,-37.862833333333334,17.879833333333334,WGSV3-052
2578,2023-04-03 03:50:20,-37.8695,17.883333333333333,WGSV3-052
2577,2023-04-03 04:05:20,-37.87583333333334,17.8865,WGSV3-052
2576,2023-04-03 04:20:20,-37.88033333333333,17.89333333333333,WGSV3-052
2575,2023-04-03 04:35:20,-37.88333333333333,17.902833333333334,WGSV3-052
2574,2023-04-03 04:50:20,-37.883833333333335,17.9125,WGSV3-052
2573,2023-04-03 05:05:20,-37.88066666666667,17.92233333333333,WGSV3-052
2572,2023-04-03 05:20:20,-37.87583333333334,17.92983333333333,WGSV3-052
2571,2023-04-03 05:35:20,-37.868500000000004,17.933666666666667,WGSV3-052
2570,2023-04-03 05:50:20,-37.86133333333333,17.935833333333335,WGSV3-052
2569,2023-04-03 06:05:20,-37.855333333333334,17.932666666666666,WGSV3-052
2568,2023-04-03 06:20:20,-37.849666666666664,17.92983333333333,WGSV3-052
2567,2023-04-03 06:35:20,-37.84583333333333,17.925166666666666,WGSV3-052
2566,2023-04-03 06:50:20,-37.843833333333336,17.919,WGSV3-052
2565,2023-04-03 07:05:20,-37.838166666666666,17.9155,WGSV3-052
2564,2023-04-03 07:34:25,-37.8295,17.92683333333333,WGSV3-052
2563,2023-04-03 07:49:25,-37.83166666666667,17.935333333333332,WGSV3-052
2562,2023-04-03 08:04:25,-37.838,17.939,WGSV3-052
2561,2023-04-03 08:19:25,-37.843666666666664,17.944333333333336,WGSV3-052
2560,2023-04-03 08:34:25,-37.849666666666664,17.951,WGSV3-052
2559,2023-04-03 08:49:25,-37.85516666666667,17.957,WGSV3-052
2558,2023-04-03 09:04:25,-37.86,17.9625,WGSV3-052
2557,2023-04-03 09:19:25,-37.86466666666667,17.967666666666666,WGSV3-052
2556,2023-04-03 09:34:25,-37.86866666666666,17.975,WGSV3-052
2555,2023-04-03 09:49:25,-37.87133333333334,17.983333333333334,WGSV3-052
2554,2023-04-03 10:04:25,-37.87466666666667,17.990833333333335,WGSV3-052
2553,2023-04-03 10:19:25,-37.8805,17.994000000000003,WGSV3-052
2552,2023-04-03 10:34:25,-37.886833333333335,17.997166666666665,WGSV3-052
2551,2023-04-03 10:49:25,-37.89233333333333,17.997166666666665,WGSV3-052
2550,2023-04-03 11:04:25,-37.8975,17.994500000000002,WGSV3-052
2549,2023-04-03 11:19:25,-37.90266666666666,17.991666666666667,WGSV3-052
2548,2023-04-03 11:48:31,-37.908500000000004,17.980833333333333,WGSV3-052
2547,2023-04-03 12:03:31,-37.910666666666664,17.97416666666667,WGSV3-052
2546,2023-04-03 12:18:31,-37.91116666666667,17.967333333333332,WGSV3-052
2545,2023-04-03 12:33:31,-37.909,17.96066666666667,WGSV3-052
2544,2023-04-03 12:48:31,-37.90683333333333,17.954166666666666,WGSV3-052
2543,2023-04-03 13:03:31,-37.90316666666667,17.948833333333333,WGSV3-052
2542,2023-04-03 13:18:31,-37.897666666666666,17.946,WGSV3-052
